case_id,category_level_1,category_level_2,notes,insights
20-03078.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for multiple years.,
20-03310.h1,Financial,Unpaid taxes,Applicant failed to file and pay 2018 federal income taxes.,
21-02538.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of severe mental health issues impacting reliability.,
22-00005.h1,Financial,Failure to file required financial disclosures,Applicant failed to file tax returns for 2020 and 2021.,
22-00010.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has a DWI charge and multiple criminal offenses.; level1_corrected,
22-00243.h1,Foreign Influence,Close and continuing foreign contacts,Applicant has significant ties and financial support to family in Djibouti.,
22-00396.h2,Alcohol Consumption,DUI or DWI incidents,Applicant had a DUI incident in 2020 but has not reoffended.,
22-00468.h1,Alcohol Consumption,Pattern of binge drinking,Applicant has a history of excessive alcohol use and related treatment.,
22-00761.h2,Criminal Conduct,Misdemeanor pattern,Applicant has multiple misdemeanor arrests for domestic violence.,
22-00842.h1,Criminal Conduct,Felony conviction,Applicant has a history of serious criminal charges including child endangerment.,
22-00912.h1,Financial,Unpaid taxes,Applicant has unresolved tax returns and delinquent debts.,
22-01200.h1,Criminal Conduct,Felony conviction,Applicant viewed child pornography and falsified information during interviews.,
22-01359.h1,Drugs,Distribution or intent to distribute,Applicant involved in multiple drug distribution incidents.,
22-01640.h1,Psychological Conditions,Condition affecting judgment or reliability,Applicant has a history of bipolar disorder and anxiety impacting reliability.,
22-01745.h1,Financial,Chronic delinquent debt,Applicant has multiple charged-off debts and bankruptcy issues.,
22-01864.h1,Financial,Chronic delinquent debt,Applicant has multiple unresolved debts and delinquent accounts.,
22-01865.h1,Drugs,Pattern of recurring use,Applicant has a long history of marijuana use and cultivation.,
22-01925.h1,Financial,Unpaid taxes,Applicant has unpaid federal and state taxes from 2017.,
22-02129.h1,Personal Conduct,False statements on SF-86,Applicant lied about foreign contacts and money transfer during interviews.,
22-02395.h1,Drugs,Pattern of recurring use,Applicant had a history of drug use from age 17 to 22 with some relapses.,
22-02560.h1,Drugs,Failure to disclose use,Applicant failed to disclose drug use on multiple security clearance applications.,
22-02575.h1,Alcohol Consumption,DUI or DWI incidents,Applicant has multiple DWI charges and a history of alcohol-related offenses.; level1_corrected,
22-02603.h1,Foreign Influence,Immediate family members who are foreign nationals,"Applicant's parents are Taiwanese citizens, raising security concerns.",
22-02626.h1,Financial,Chronic delinquent debt,"Applicant has multiple delinquent debts totaling over $68,000.",
